IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.77.222,2053,2053,true,SIN,Asia Pacific,Singapore,95,4.48
8.222.214.231,2083,2083,true,SIN,Asia Pacific,Singapore,29,4.48
8.210.207.214,2095,2095,false,HKG,Asia Pacific,Hong Kong,49,4.47
47.237.0.31,2086,2086,false,SIN,Asia Pacific,Singapore,29,4.47
47.236.166.131,2086,2086,false,SIN,Asia Pacific,Singapore,20,4.47
8.217.121.207,2082,2082,false,HKG,Asia Pacific,Hong Kong,45,4.47
8.218.11.90,2083,2083,true,HKG,Asia Pacific,Hong Kong,106,4.47
8.209.70.52,443,443,true,FRA,Europe,Frankfurt,271,4.47
47.242.155.183,2095,2095,false,HKG,Asia Pacific,Hong Kong,49,4.47
47.243.74.220,2083,2083,true,HKG,Asia Pacific,Hong Kong,55,4.47
47.236.202.91,2095,2095,false,SIN,Asia Pacific,Singapore,255,4.47
47.236.170.54,2086,2086,false,SIN,Asia Pacific,Singapore,13,4.46
8.218.8.142,8080,8080,false,HKG,Asia Pacific,Hong Kong,40,4.46
8.217.149.28,8080,8080,false,HKG,Asia Pacific,Hong Kong,54,4.46
47.236.121.23,2095,2095,false,SIN,Asia Pacific,Singapore,21,4.45
8.210.65.1,2096,2096,true,HKG,Asia Pacific,Hong Kong,53,4.45
8.222.137.192,2083,2083,true,SIN,Asia Pacific,Singapore,53,4.45
47.242.176.237,2086,2086,false,HKG,Asia Pacific,Hong Kong,39,4.45
8.219.248.47,2082,2082,false,SIN,Asia Pacific,Singapore,22,4.45
8.222.187.4,80,80,false,SIN,Asia Pacific,Singapore,3,4.45
47.237.0.31,80,80,false,SIN,Asia Pacific,Singapore,28,4.45
47.236.202.91,8880,8880,false,SIN,Asia Pacific,Singapore,163,4.44
47.242.155.183,2052,2052,false,HKG,Asia Pacific,Hong Kong,43,4.44
47.236.83.239,2053,2053,true,SIN,Asia Pacific,Singapore,59,4.43
47.76.37.57,2086,2086,false,HKG,Asia Pacific,Hong Kong,45,4.43
47.236.10.182,2095,2095,false,SIN,Asia Pacific,Singapore,23,4.43
47.245.86.230,8443,8443,true,SIN,Asia Pacific,Singapore,75,4.43
8.218.211.17,2053,2053,true,HKG,Asia Pacific,Hong Kong,101,4.42
47.237.11.182,2052,2052,false,SIN,Asia Pacific,Singapore,723,4.42
47.236.125.62,2095,2095,false,NRT,Asia Pacific,Tokyo,105,4.42
47.242.54.157,2095,2095,false,HKG,Asia Pacific,Hong Kong,39,4.42
8.222.249.190,2082,2082,false,SIN,Asia Pacific,Singapore,9,4.42
8.210.156.6,2087,2087,true,HKG,Asia Pacific,Hong Kong,71,4.42
